image_path,caption,comment
data/test.jpg,"sunset vibes","this looks amazing 🔥"
data/test.jpg,"beach day","love this so much 😍"
data/test.jpg,"city lights","this is so cool ✨"
data/test.jpg,"friends hangout","such a great moment"
data/test.jpg,"road trip","this is everything 🔥"
data/test.jpg,"night vibes","so aesthetic"
data/test.jpg,"coffee time","this is perfect"
data/test.jpg,"morning walk","so peaceful"
data/test.jpg,"weekend fun","this is awesome"
data/test.jpg,"travel mode","living the dream"
